Id,Ingredients,Ingredients_tr
5116,kashmiri chile,Keşmir Şili
5117,kashmiri chili powder,Keşmir biber tozu
5118,kashmiri garam masala,Keşmir Garam Masala
5119,kasoori methi,kasoori methi
5120,kasseri cheese,kaşar peyniri
5121,kecap mani,kecap mani
5122,kefir,kefir
5123,kelp flake,Yosun pulu
5124,kelp powder,yosun tozu
5125,kernel corn,çekirdek mısır
5126,ketchup,ketçap
5127,"ketchup (such as Hunt's®), or as needed",ketçap (Hunt's® gibi) veya gerektiği kadar
5128,kettle potato chip,ısıtıcısı patates cipsi
5129,key lime,limonlu
5130,key lime flavored greek yogurt,limon aromalı yunan yoğurdu
5131,key lime juice,limon suyu
5132,key lime zest,limon kabuğu rendesi
5133,kidney bean,barbunya
5134,kidney bean liquid,barbunya sıvısı
5135,kidney cannelini bean,böbrek cannellini fasulyesi
5136,kidney cannellini bean,böbrek cannellini fasulyesi
5137,kielbasa,Kielbasa
5138,kielbasa ring,kielbasa yüzüğü
5139,kielbasa sausage,kielbasa sosisi
5140,kikkoman hoisin sauce,kikkoman kuru üzüm sosu
5141,kikkoman less sodium soy sauce,kikkoman az sodyumlu soya sosu
5142,kikkoman lime ponzu,kikkoman limonlu ponzu
5143,kikkoman naturally brewed soy sauce,kikkoman doğal fermente soya sosu
5144,kikkoman organic original soymilk,kikkoman organik orijinal soya sütü
5145,kikkoman oyster sauce,kikkoman istiridye sosu
5146,kikkoman panko bread crumb,kikkoman panko ekmek kırıntısı
5147,kikkoman ponzu lime,kikkoman ponzu limonu
5148,kikkoman seasoned rice vinegar,kikkoman baharatlı pirinç sirkesi
5149,kikkoman soy sauce,kikkoman soya sosu
5150,kikkoman sriracha chili sauce,kikkoman sriracha biber sosu
5151,kikkoman tempura batter mix,kikkoman tempura hamuru karışımı
5152,kikkoman teriyaki marinade sauce,kikkoman teriyaki turşusu sosu
5153,kimchi,kimçi
5154,king arthur almond flour,kral arthur badem unu
5155,king arthur coconut flour,kral arthur hindistan cevizi unu
5156,king crab leg,kral yengeç bacağı
5157,king mackerel fillet cleaned,temizlenmiş kral uskumru filetosu
5158,king salmon fillet,kral somon filetosu
5159,kirby cucumber,kirby salatalık
5160,kirschwasser,kirschwasser
5161,kisse brand milk chocolate kisse brand candy cane candy,Kisse marka sütlü çikolata Kisse marka şeker kamışı şekeri
5162,kitchen cut plastic wrap,mutfak kesim plastik ambalaj
5163,kitchen original unsalted chicken stock,mutfak orijinal tuzsuz tavuk suyu
5164,kitchen parchment paper,mutfak parşömen kağıdı
5165,kitchen string,mutfak ipi
5166,kiwi,kivi
5167,kiwi fruit,kivi meyvesi
5168,kiwifruit,kivi
5169,kluski noodle,kluski şehriye
5170,knockwurst,vuruş sucuğu
5171,knuckle,eklem
5172,kohlrabi,alabaş
5173,kohlrabi bulb,alabaş soğanı
5174,kokum,kokum
5175,kombu,kombu
5176,konbu kelp,konbu yosunu
5177,korean beef stock,Kore sığır eti stoku
5178,korean bulgogi marinade,kore bulgogi turşusu
5179,korean bulgogi sauce,kore bulgogi sosu
5180,korean chile flake,kore şili pul
5181,korean chile paste,kore şili ezmesi
5182,korean chile pepper powder,kore şili biber tozu
5183,korean chile powder,kore şili tozu
5184,korean chili pepper flake,Kore pul biberi
5185,korean chili pepper paste,kore biber salçası
5186,korean dang myun noodle,kore dang myun şehriye
5187,korean date,Kore tarihi
5188,korean pepper flake,kore biber tanesi
5189,korean pepper paste,kore biber salçası
5190,korean pepper powder,Kore biber tozu
5191,korean pepper thread,kore biberi ipliği
5192,korean potato noodle,kore patates şehriye
5193,korean radish,Kore turpu
5194,korean short rib,kore kısa kaburga
5195,korean soon tofu tofu,kore yakında tofu tofu
5196,korean soy bean paste,kore soya fasulyesi ezmesi
5197,korean style short rib,kore tarzı kısa kaburga
5198,kosher dill pickle spear,koşer dereotu turşu mızrak
5199,kosher passover vanilla flavoring,koşer Fısıh vanilya aroması
5200,kosher salt,koşer tuzu
5201,kosher salt (such as Diamond Crystal®,koşer tuzu (Diamond Crystal® gibi
5202,kosher salt and black pepper to taste,tatmak için koşer tuzu ve karabiber
5203,kosher salt cracked pepper to,koşer tuzu kırık biber
5204,kosher salt grinding vegetable,koşer tuzu öğütme sebze
5205,kosher salt pepper,koşer tuzu biberi
5206,kosher salt pepper to,koşer tuzu biberi
5207,kosher salt to,koşer tuzu
5208,"kosher salt, divided, or to taste",koşer tuzu
5209,kosher sea salt,koşer deniz tuzu
5210,kosher turkey sausage,koşer hindi sosisi
5211,koshi an,koşi an
5212,kraft calorie wise rancher choice dressing,kraft kalorili çiftçi seçimi sosu
5213,kraft cheddar cheese,kraft kaşar peyniri
5214,kraft cheddar monterey jack cheese,kraft çedar monterey jack peyniri
5215,kraft creamy caesar dressing,kraft kremalı sezar sosu
5216,kraft crunchy peanut butter,kraft çıtır fıstık ezmesi
5217,kraft done right house italian reduced dressing,kraft made right house italyan azaltılmış pansuman
5218,kraft italian five cheese blend,kraft italyan beş peynir karışımı
5219,kraft lite balsamic vinaigrette dressing,kraft lite balzamik sos sosu
5220,kraft low moisture part skim mozzarella cheese,kraft düşük nem kısmı mozzarella peyniri
5221,kraft low moisture whole milk mozzarella cheese,kraft düşük nemli tam yağlı süt mozzarella peyniri
5222,kraft mexican four cheese a touch philadelphia,kraft meksika dört peynirli bir dokunuş philadelphia
5223,kraft milk mozzarella cheese,kraft süt mozzarella peyniri
5224,kraft milk sharp cheddar cheese,kraft sütlü keskin kaşar peyniri
5225,kraft mozzarella cheese,kraft mozzarella peyniri
5226,kraft mozzarella cheese a touch philadelphia,kraft mozzarella peyniri bir dokunuş philadelphia
5227,kraft parmesan aged cheese,kraft parmesan eski peynir
5228,kraft parmesan cheese,kraft parmesan peyniri
5229,kraft peanut butter chocolate,kraft fıstık ezmeli çikolata
5230,kraft sharp cheddar cheese,kraft keskin kaşar peyniri
5231,kraft signature pepper parmesan dressing,kraft imzalı biber parmesan sosu
5232,kraft smooth peanut butter,kraft pürüzsüz fıstık ezmesi
5233,kraft sun dried tomato vinaigrette dressing,kraft güneşte kurutulmuş domates sos sosu
5234,kraft three cheese a touch philadelphia,kraft üç peynir bir dokunuş philadelphia
5235,kraft triple cheddar cheese a touch philadelphia,kraft üçlü çedar peyniri bir dokunuş philadelphia
5236,kraft zesty italian dressing,kraft zesty italyan sosu
5237,krusteaz protein buttermilk pancake mix,krusteaz proteinli ayran gözleme karışımı
5238,kumquat,Kamkat
5239,kumquat puree,Kamkat püresi
5240,kuri pumpkin,kuri balkabağı
5241,la soy sauce,la soya sosu
5242,la teriyaki stir fry sauce marinade,la teriyaki kızartma soslu marine
5243,labneh,labne
5244,lacinato kale,lacinato lahana
5245,lactose free milk,laktozsuz süt
5246,lady baltimore frosting,bayan baltimore kreması
5247,ladyfinger,hanım parmağı
5248,ladyfinger cooky,kedi dili kurabiyesi
5249,ladyfinger left whole,hanım parmağı bütün olarak kaldı
5250,lal mirchi,lal mirchi
5251,lamb,kuzu
5252,lamb beef,kuzu eti
5253,lamb breast,kuzu göğsü
5254,lamb chop,kuzu pirzolası
5255,lamb loin chop,kuzu filetosu
5256,lamb meat,kuzu eti
5257,lamb mutton breast chop,kuzu eti göğüs pirzolası
5258,lamb neck,kuzu boynu
5259,lamb rib,kuzu kaburga
5260,lamb shank,kuzu incik
5261,lamb shoulder,kuzu omuz
5262,lamb shoulder arm chop,kuzu omuz kol pirzola
5263,lamb shoulder blade chop,kuzu omuz bıçağı pirzolası
5264,lamb shoulder chop,kuzu omuz pirzolası
5265,lamb steak,kuzu biftek
5266,lamb stew meat,kuzu güveç eti
5267,lamb top sirloin,kuzu üst sığır filetosu
5268,land o butter,toprak veya tereyağı
5269,land o butter canola oil,kara o tereyağı kanola yağı
5270,land o butter olive oil sea salt,kara veya tereyağı zeytinyağı deniz tuzu
5271,land o deli american,arazi veya şarküteri amerikan
5272,land o salted butter,toprak veya tuzlu tereyağı
5273,land o unsalted butter,toprak veya tuzsuz tereyağı
5274,land teriyaki saute,kara teriyaki sote
5275,langostino shrimp,Langostino karidesi
5276,lardo,lardo
5277,largemouth bass fillet,çipura levrek filetosu
5278,lasagna noodle,lazanya şehriye
5279,laughing creamy swiss wedge,gülen kremalı İsviçre kaması
5280,lavash bread,lavaş ekmeği
5281,lavender,lavanta
5282,lavender blossom,lavanta çiçeği
5283,lavender bud,lavanta tomurcuğu
5284,lavender flower,lavanta çiçeği
5285,lavender honey,lavanta balı
5286,lavender petal,lavanta yaprağı
5287,lawry herb garlic marinade lemon juice,hukuk otu sarımsak turşusu limon suyu
5288,layer candy,katmanlı şeker
5289,lea real coconut whipped cream,lea gerçek hindistan cevizi krem ​​şanti
5290,leaf,yaprak
5291,leaf lettuce,yaprak marul
5292,leaf lettuce leave,yaprak marul izni
5293,"leaf lettuce, lengthwise","yapraklı marul, uzunlamasına ikiye bölünmüş"
5294,leaf spinach,yaprak ıspanağı
5295,leafy green,yeşil yapraklı
5296,leafy lettuce,yapraklı marul
5297,leafy salad mix,yapraklı salata karışımı
5298,leave,ayrılmak
5299,leave bok choy,Çin lahanasını bırak
5300,leave boston lettuce,Boston marulunu bırak
5301,leave caribbean wild oregano,Karayip yabani kekiğini bırak
5302,leave iceberg lettuce,buzdağı marulunu bırak
5303,leave stem beet,kök pancarını bırak
5304,lecithin granule,lesitin granülü
5305,leek,pırasa
5306,leek cleaned,pırasa temizlendi
5307,leek cut lengthwise,uzunlamasına kesilmiş pırasa
5308,leek lengthwise,uzunlamasına pırasa
5309,leek part cut horizontally part cut lengthwise,pırasanın bir kısmı yatay kesilmiş bir kısmı uzunlamasına kesilmiş
5310,leek root trimmed off,pırasanın kökü kesilmiş
5311,leek shallot,pırasa arpacık soğanı
5312,leek soup mix,pırasa çorbası karışımı
5313,leftover bean casserole,kalan fasulye güveci
5314,leftover beef,kalan sığır eti
5315,leftover bread,kalan ekmek
5316,leftover chicken,kalan tavuk
5317,leftover corn,kalan mısır
5318,leftover corned beef,kalan konserve sığır eti
5319,leftover cranberry sauce,kalan kızılcık sosu
5320,leftover creamed spinach,kalan kremalı ıspanak
5321,leftover gravy,kalan sos
5322,leftover idahoan mashed potato,kalan idahoan patates püresi
5323,leftover macaroni,kalan makarna
5324,leftover mashed potato,kalan patates püresi
5325,leftover meatloaf,kalan köfte
5326,leftover pinto bean,kalan barbunya fasulyesi
5327,leftover pizza,kalan pizza
5328,leftover pot roast,kalan kızartma
5329,leftover rice,kalan pirinç
5330,leftover roast beef,kalan kızartma dana eti
5331,leftover roast lamb,kalan kızartma kuzu
5332,leftover roast turkey,kalan kızarmış hindi
5333,leftover salmon,kalan somon
5334,leftover sausage,kalan sosis
5335,leftover stuffing,kalan doldurma
5336,leftover turkey,kalan hindi
5337,leftover turkey carcass,arta kalan hindi karkası
5338,leftover turkey gravy,kalan hindi sosu
5339,leftover turkey meat,kalan hindi eti
5340,leftover vegetable,kalan sebze
5341,leg,bacak
5342,leg lamb,bacak kuzu
5343,leg lamb meat,bacak kuzu eti
5344,"leg of lamb, trimmed of fat","pound) kuzu budu, yağı kesilmiş"
5345,leg quarter,bacak çeyreği
5346,leg quarter skin,bacak çeyrek derisi
5347,leg skin,bacak derisi
5348,leg thigh,bacak uyluk
5349,lemon,limon
5350,lemon balm,melisa
5351,lemon balm leave,melisa izni
5352,lemon balsamic vinegar,limon balzamik sirke
5353,lemon basil,limon fesleğen
5354,lemon cake mix,limonlu kek karışımı
5355,lemon cake mix pudding,limonlu kek karışımı puding
5356,lemon curd,limon peyniri
5357,lemon custard filling,limonlu muhallebi dolması
5358,lemon extract,limon özü
5359,lemon flavored ice tea mix,limon aromalı buzlu çay karışımı
5360,lemon flavored olive oil,limon aromalı zeytinyağı
5361,lemon flavored soda,limon aromalı soda
5362,lemon flavored tea powder,limon aromalı çay tozu
5363,lemon flavored yogurt,limon aromalı yoğurt
5364,lemon grass,limon otu
5365,lemon grass powder,limon otu tozu
5366,lemon half,limon yarısı
5367,lemon herb seafood seasoning,limon otu deniz ürünleri baharatı
5368,lemon herb seasoning,limon otu baharatı
5369,lemon iced tea mix,limonlu buzlu çay karışımı
5370,lemon infused balsamic vinegar,limonlu balzamik sirke
5371,lemon infused olive oil,limonlu zeytinyağı
5372,lemon juice,limon suyu
5373,lemon juice concentrate,limon suyu konsantresi
5374,lemon juice from concentrate,konsantreden limon suyu
5375,lemon lime carbonated beverage,limonlu gazlı içecek
5376,lemon lime flavored carbonated beverage,limon limon aromalı gazlı içecek
5377,lemon lime flavored soda,limonlu limon aromalı soda
5378,lemon lime juice,limon limon suyu
5379,lemon lime soda,limonlu soda
5380,lemon lime sport drink,limon limonlu spor içeceği
5381,lemon marmalade,limon marmelatı
5382,lemon non fat greek yogurt,limonlu yunan yoğurdu
5383,lemon oil,limon yağı
5384,lemon peel,limon kabuğu
5385,lemon pepper,limon biberi
5386,lemon pepper linguine,limon biberli linguine
5387,lemon pepper panko bread crumb,limon biber panko ekmek kırıntısı
5388,lemon pepper panko crispy bread crumb,limon biber panko çıtır ekmek kırıntısı
5389,lemon pepper seasoning,limon biber baharatı
5390,lemon pie filling,limonlu pasta dolması
5391,lemon poppy seed muffin mix,limonlu haşhaş tohumlu muffin karışımı
5392,lemon pudding mix,limonlu puding karışımı
5393,lemon pulp,limon posası
5394,lemon rind,limon kabuğu
5395,lemon slice,limon dilimi
5396,lemon tea cooky,limonlu çay kurabiyesi
5397,lemon thyme,limonlu kekik
5398,lemon thyme leave,limonlu kekik izni
5399,lemon verbena,limon mine çiçeği
5400,lemon verbena leave,limon mineçiçeği bırakın
5401,lemon vinaigrette,limon sosu
5402,lemon wedge,limon dilimi
5403,lemon yogurt,limonlu yoğurt
5404,lemon zest,limon kabuğu rendesi
5405,"lemon, zested and juiced","limon, kabuğu ve suyu sıkılmış"
5406,lemon-lime soda (e.g. 7-Up,limonlu soda (örn. 7-Up
5407,lemon-pepper seasoning,limon-biber baharatı
5408,lemonade,limonata
5409,lemonade concentrate,limonata konsantresi
5410,lemonade flavor drink powder,limonata aromalı içecek tozu
5411,lemonade flavored drink mix,limonata aromalı içecek karışımı
5412,lemonade from concentrate,konsantre limonata
5413,lemonade mix,limonata karışımı
5414,lemongrass,limon otu
5415,lemongrass paste,limon otu ezmesi
5416,lemongrass paste (such as Gourmet Garden,limon otu ezmesi (Gourmet Garden gibi
5417,lemongrass stalk,limon otu sapı
5418,"lemons, juiced",limon suyu sıkılmış
5419,lengthwise,uzunlamasına
5420,lentil,mercimek
5421,lentil flour,mercimek unu
5422,lentil soup,mercimek çorbası
5423,lentil soup mix,mercimek çorbası karışımı
5424,less cream cheese,daha az krem ​​peynir
5425,less cream cheese at,daha az krem ​​peynir
5426,less fat cream cheese,daha az yağlı krem ​​peynir
5427,less sodium chicken broth,daha az sodyum tavuk suyu
5428,less sodium ready to use garlic chicken broth,az sodyum kullanıma hazır sarımsaklı tavuk suyu
5429,less sodium ready to use seafood broth,daha az sodyum kullanıma hazır deniz ürünleri suyu
5430,less sodium soy sauce,daha az sodyum soya sosu
5431,less sodium taco seasoning mix,daha az sodyum taco baharat karışımı
5432,letter number stencil,harf numarası kalıbı
5433,lettuce,marul
5434,lettuce heart,marul kalbi
5435,lettuce leaf,marul yaprağı
5436,lettuce leave,marul izni
5437,lettuce leaves,marul yaprağı
5438,libby salmon canned nf,libby somon konservesi nf
5439,licorice,meyan kökü
5440,licorice lace,meyan kökü dantel
5441,licorice root,meyan kökü
5442,licorice whip,meyan kökü kırbaç
5443,lid,kapak
5444,lid band,bira bardağı kapak bandı
5445,lid ring,kapak halkası
5446,lievito pane degli angeli,lievito pane degli angeli
5447,light coconut milk,ons) Hindistan cevizi sütünü yakabilir
5448,light mayonnaise,hafif mayonez
5449,"light red kidney beans (such as Bush's®), and","ons) kutu açık kırmızı barbunya fasulyesi (Bush's® gibi), durulanmış ve suyu süzülmüş"
5450,light rye bread with caraway seeds,kimyon tohumlu hafif çavdar ekmeği
5451,lillet blanc,beyaz
5452,lily flower,Zambak çiçeği
5453,lima bean,lima fasulyesi
5454,lime,kireç
5455,lime cordial,limonlu likör
5456,lime extract,kireç özü
5457,lime juice,limon suyu
5458,lime leave,kireç izni
5459,lime lemon juice,limon limon suyu
5460,lime marmalade,limon marmelatı
5461,lime peel,limon kabuğu
5462,lime sherbet,limon şerbeti
